what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1372186967390
no handler,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1372186970062
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1372186979531
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1372186985421
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1372186986750
no handler,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1372186990218
no handler,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1372186992406
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1372187017890
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372187018218
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1372187027250
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1372187051296
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372187123062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372187124218
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372187124234
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372187124406
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372187215203
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372187216812
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372187218343
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372187218562
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372187218562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372187218656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372187730875
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1372187747687
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1372187754921
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1372187755125
